"time","scramble","date"
01:00.136,R' F2 L2 R' D2 L' D2 R' B2 F' U' F U' L F2 R D2 U R',2020-06-08 17:55:00 UTC
01:11.063,B2 L' F2 U' B R2 F U D' L F' B2 U F2 D' B2 D R2 U D,2020-06-08 17:57:00 UTC
01:10.443,B2 F2 L2 U' L2 D L2 B2 R2 U' R' B F D2 L2 D L' D U L' R2,2020-06-08 17:59:00 UTC
01:09.944,D' B' U' L' F2 L D' R' U2 F' B R' L2 U2 R F2 D2 F2 L' U2,2020-06-08 18:01:00 UTC
01:12.392,F L U' L' D L B U D2 F' R F' L2 F L2 B2 D2 F' R2,2020-06-08 18:05:00 UTC
01:12.683,B2 R' U' R' B2 R L' B D F' L U2 L2 U R2 F2 B2 D',2020-06-08 18:07:00 UTC
01:03.398,F L U2 F L F U' D' R L B R L2 U2 B2 L' U2 D2 F2,2020-06-08 18:08:00 UTC
01:10.289,F2 R F2 L' B2 R2 B2 L' U2 L' D L' B2 F' U' L2 D2 L B' D2,2020-06-08 18:11:00 UTC
01:12.829,D' F2 D' L2 B2 R2 F2 L' U2 R2 D' F' D' B L D' L R' U,2020-06-08 18:13:00 UTC
01:24.027,R' D R' U R' L' B2 D L F' R' D2 F' R2 F' D2 B' R2 D2,2020-06-08 18:15:00 UTC
00:48.946,R2 D' L2 U R2 U' B2 R2 D2 R D B L' F' R2 U' R' B' D' B',2020-06-08 18:16:00 UTC
00:55.830,L2 B' R2 B2 R2 D2 F' R2 D2 R' B2 U2 R2 F D L' U R F2,2020-06-08 18:21:00 UTC
01:07.010,R2 L2 B' L D2 B' L' F2 L B2 D2 F2 U F2 R2 F2 D B2 U' L2,2020-06-08 18:26:00 UTC
01:10.850,L U' B U F2 L U R' D F U2 B L2 F2 B D2 B R2 B,2020-06-08 18:28:00 UTC
01:08.909,L2 B2 R2 B L2 D2 F2 U2 B D' R' D2 L R' U L' B' U L',2020-06-08 18:30:00 UTC
00:57.577,B R' F L F U L F2 D' R' L2 B U2 F' U2 L2 F' L2,2020-06-08 18:31:00 UTC
01:01.914,F2 D2 L2 D2 B D2 L2 B F U2 F U L2 F D2 R D' U2 B2 U L',2020-06-08 18:34:00 UTC
01:08.443,B2 L2 F' D2 U2 B2 F' R2 U2 L D R F R' U' F R2 D2 B F2,2020-06-08 18:36:00 UTC
00:46.684,F U D2 R' U D R2 U L' B' R F B2 D2 L2 F' U2 D2 B2,2020-06-08 18:40:00 UTC
00:58.111,L B D' L2 D' B2 R2 F B' D' L' F2 B2 L' B2 D2 B2 D2 R2,2020-06-08 18:44:00 UTC
01:07.649,B2 F2 R2 F2 U2 B2 D' U' B' D2 L' D U' B' L2 U' F R U,2020-06-08 18:56:00 UTC
01:10.236,F2 U2 R D2 L' B2 D2 L D2 R2 F' U' R F' D2 R D' F2 R U,2020-06-08 20:04:00 UTC
00:40.121,L U L' B' D2 F' R U B U' R' L2 B2 R2 U2 F' B' L2 F,2020-06-08 20:05:00 UTC
01:11.069,U R2 U' L2 F2 L2 D L2 F2 U' L F' D' F R' F2 D B D2 F2,2020-06-08 20:08:00 UTC
01:16.818,D2 B2 D' B' L' F' U' F' D' R' F' L2 U2 D B2 L2 D2 F2 L2,2020-06-08 20:10:00 UTC
01:12.734,D' B2 U L' U' L' D F' U2 F U L2 U L2 F2 U' B2 D',2020-06-08 20:12:00 UTC
01:16.127,R2 B D2 F D2 B R2 U2 F D2 R2 D B2 D2 U' L' F' D2 R' U2 L',2020-06-08 20:14:00 UTC
00:51.849,U' F2 D' R' B2 R2 U B D' R2 D' R U2 D2 B2 R B2 D2 R F2,2020-06-08 20:16:00 UTC
00:59.531,F' L F U' D' B' R' F L' B' R2 F2 B2 U' F2 U2 R2 U2 L2,2020-06-08 20:18:00 UTC
00:43.472,B R U2 L D L2 D' L2 F R2 B2 U' D2 R2 D F2 L2 F2 L2,2020-06-08 20:19:00 UTC
00:58.809,F2 R2 U2 R2 F2 U' B2 R2 F2 L2 R B2 L' B' D' L' F2 R D2 L',2020-06-08 20:21:00 UTC
01:00.136,R2 U' R L D2 L2 B U2 F B2 D R F2 U2 L B2 R' U2 L',2020-06-08 20:23:00 UTC
01:00.952,F2 U2 B2 D2 R2 U2 R2 F2 U R B2 F R' B U2 R' U' B2 U2 L2,2020-06-08 20:25:00 UTC
00:54.914,R' D' R' U2 F' L B2 D' B' D2 B L B2 L F2 U2 L2 U2 L2,2020-06-08 20:27:00 UTC
01:05.158,R2 D2 U2 B' L2 F' R2 U' B2 L D B' U2 L' D' B',2020-06-08 20:29:00 UTC
01:02.667,R' U' D2 B R L' U2 R' F' R U R L' U2 D2 R' U2 F2 B2 U2,2020-06-08 20:31:00 UTC
00:58.438,F2 R' U2 F2 D2 B' U2 R' U' F2 U2 R2 F2 L2 F D2 B U2 L2,2020-06-08 20:33:00 UTC
01:08.240,B U' L' B L F' U' D2 L F R' D2 F R2 F2 R2 L2 F' R2,2020-06-08 20:35:00 UTC
01:13.318,B2 L D2 B2 L2 F2 L' B2 D2 L' U2 F' L F D B R B2 R2 B',2020-06-08 20:36:00 UTC
01:09.721,L2 D B2 L2 D L2 D U B2 F' L2 U' B' U' F L R' D B2 R2,2020-06-08 20:38:00 UTC
01:03.300,B2 L2 U R2 U2 R2 D2 F2 L F R' D2 R' D2 R' D L B U',2020-06-08 20:40:00 UTC
01:01.176,D2 F' L2 R2 F U2 F' L2 R' U F' U B D' B' D2 F U' L2,2020-06-08 20:42:00 UTC
01:09.189,R2 D' F2 U2 R2 U' F2 D2 F2 L D R2 U' L R B F L' B D,2020-06-08 20:43:00 UTC
01:08.249,D F D2 R2 U L' D2 F' B2 L' B2 D2 F L2 F2 D2 F R2 L2,2020-06-08 20:45:00 UTC
00:54.420,L2 F2 R' B2 F2 R' B2 L U R F' D' L B' F' L R F,2020-06-08 20:47:00 UTC
01:09.228,B' R' B' D' L F R F2 L2 F L' D2 R2 D B2 D R2 B2 U2,2020-06-08 22:00:00 UTC
01:09.820,R B' D R2 D' R U2 B' U B2 L' D2 L F2 R U2 D2 R2 L,2020-06-08 22:02:00 UTC
01:06.175,D' R2 U' L2 D U' B F L F' D' R2 B' D F R' D F2,2020-06-08 22:04:00 UTC
01:01.439,R2 F2 L2 D2 U' L2 D2 L D2 B' U2 R' U2 B' F D' L2 B' F2,2020-06-08 22:06:00 UTC
01:06.063,D2 B2 U' L2 F2 L2 D R2 B' U L' B D R F' D L2 U' F2 R,2020-06-08 22:08:00 UTC
00:49.902,F' D' B2 R U B D' B2 D R2 F2 L2 B R2 L2 F U2 B' R2 B,2020-06-08 22:09:00 UTC
